,FFNN,ARIMA,LSTM,length,kurtosis,energy,variance
Serie 10,-1,-1,0.0004685433523263782,144,30.41702538633623,8.5657731176536,0.007399347385879326
Serie 11,-1,-1,0.02146991156041622,144,0.34004093527431634,22.603000247452954,0.027834926237708755
Serie 12,-1,-1,1.253782784260693e-06,144,-1.516138507503018,47.5136137372335,0.08029427031605246
